step,K,V_WCA,V_tether,H
0,0.0000256261,0.0000000000,0.0000000000,0.0000256261
1,0.0000256242,0.0000000000,0.0000000019,0.0000256261
2,0.0000256185,0.0000000000,0.0000000076,0.0000256261
3,0.0000256090,0.0000000000,0.0000000170,0.0000256261
4,0.0000255958,0.0000000000,0.0000000303,0.0000256261
5,0.0000255788,0.0000000000,0.0000000473,0.0000256261
6,0.0000255580,0.0000000000,0.0000000681,0.0000256261
7,0.0000255335,0.0000000000,0.0000000926,0.0000256261
8,0.0000255051,0.0000000000,0.0000001209,0.0000256261
9,0.0000254731,0.0000000000,0.0000001530,0.0000256261
10,0.0000254373,0.0000000000,0.0000001888,0.0000256261
11,0.0000253978,0.0000000000,0.0000002283,0.0000256261
12,0.0000253545,0.0000000000,0.0000002715,0.0000256261
13,0.0000253076,0.0000000000,0.0000003185,0.0000256261
14,0.0000252570,0.0000000000,0.0000003691,0.0000256261
15,0.0000252027,0.0000000000,0.0000004234,0.0000256261
16,0.0000251447,0.0000000000,0.0000004814,0.0000256261
17,0.0000250831,0.0000000000,0.0000005430,0.0000256261
18,0.0000250179,0.0000000000,0.0000006082,0.0000256261
19,0.0000249491,0.0000000000,0.0000006770,0.0000256261
20,0.0000248767,0.0000000000,0.0000007494,0.0000256261
21,0.0000248007,0.0000000000,0.0000008253,0.0000256261
22,0.0000247213,0.0000000000,0.0000009048,0.0000256261
23,0.0000246383,0.0000000000,0.0000009878,0.0000256261
24,0.0000245518,0.0000000000,0.0000010743,0.0000256261
25,0.0000244618,0.0000000000,0.0000011642,0.0000256261
26,0.0000243685,0.0000000000,0.0000012576,0.0000256261
27,0.0000242717,0.0000000000,0.0000013544,0.0000256261
28,0.0000241716,0.0000000000,0.0000014545,0.0000256261
29,0.0000240681,0.0000000000,0.0000015580,0.0000256261
30,0.0000239613,0.0000000000,0.0000016648,0.0000256261
31,0.0000238512,0.0000000000,0.0000017749,0.0000256261
32,0.0000237379,0.0000000000,0.0000018882,0.0000256261
33,0.0000236214,0.0000000000,0.0000020048,0.0000256261
34,0.0000235016,0.0000000000,0.0000021245,0.0000256261
35,0.0000233788,0.0000000000,0.0000022473,0.0000256261
36,0.0000232528,0.0000000000,0.0000023733,0.0000256261
37,0.0000231238,0.0000000000,0.0000025023,0.0000256261
38,0.0000229918,0.0000000000,0.0000026343,0.0000256261
39,0.0000228568,0.0000000000,0.0000027693,0.0000256261
40,0.0000227188,0.0000000000,0.0000029073,0.0000256261
41,0.0000225780,0.0000000000,0.0000030482,0.0000256261
42,0.0000224342,0.0000000000,0.0000031919,0.0000256261
43,0.0000222877,0.0000000000,0.0000033384,0.0000256261
44,0.0000221384,0.0000000000,0.0000034877,0.0000256261
45,0.0000219864,0.0000000000,0.0000036398,0.0000256261
46,0.0000218317,0.0000000000,0.0000037945,0.0000256261
47,0.0000216743,0.0000000000,0.0000039518,0.0000256261
48,0.0000215144,0.0000000000,0.0000041118,0.0000256262
49,0.0000213519,0.0000000000,0.0000042742,0.0000256262
50,0.0000211870,0.0000000000,0.0000044392,0.0000256262
51,0.0000210196,0.0000000000,0.0000046065,0.0000256262
52,0.0000208499,0.0000000000,0.0000047763,0.0000256262
53,0.0000206778,0.0000000000,0.0000049484,0.0000256262
54,0.0000205034,0.0000000000,0.0000051228,0.0000256262
55,0.0000203268,0.0000000000,0.0000052994,0.0000256262
56,0.0000201480,0.0000000000,0.0000054782,0.0000256262
57,0.0000199671,0.0000000000,0.0000056591,0.0000256262
58,0.0000197841,0.0000000000,0.0000058421,0.0000256262
59,0.0000195991,0.0000000000,0.0000060271,0.0000256262
60,0.0000194122,0.0000000000,0.0000062140,0.0000256262
61,0.0000192234,0.0000000000,0.0000064028,0.0000256262
62,0.0000190327,0.0000000000,0.0000065935,0.0000256262
63,0.0000188402,0.0000000000,0.0000067860,0.0000256262
64,0.0000186461,0.0000000000,0.0000069801,0.0000256262
65,0.0000184502,0.0000000000,0.0000071760,0.0000256262
66,0.0000182528,0.0000000000,0.0000073734,0.0000256262
67,0.0000180538,0.0000000000,0.0000075724,0.0000256262
68,0.0000178533,0.0000000000,0.0000077729,0.0000256262
69,0.0000176514,0.0000000000,0.0000079748,0.0000256262
70,0.0000174481,0.0000000000,0.0000081781,0.0000256262
71,0.0000172436,0.0000000000,0.0000083827,0.0000256262
72,0.0000170377,0.0000000000,0.0000085885,0.0000256262
73,0.0000168308,0.0000000000,0.0000087955,0.0000256262
74,0.0000166226,0.0000000000,0.0000090036,0.0000256262
75,0.0000164135,0.0000000000,0.0000092128,0.0000256262
76,0.0000162033,0.0000000000,0.0000094229,0.0000256263
77,0.0000159923,0.0000000000,0.0000096340,0.0000256263
78,0.0000157803,0.0000000000,0.0000098459,0.0000256263
79,0.0000155676,0.0000000000,0.0000100587,0.0000256263
80,0.0000153541,0.0000000000,0.0000102721,0.0000256263
81,0.0000151400,0.0000000000,0.0000104863,0.0000256263
82,0.0000149253,0.0000000000,0.0000107010,0.0000256263
83,0.0000147100,0.0000000000,0.0000109163,0.0000256263
84,0.0000144942,0.0000000000,0.0000111321,0.0000256263
85,0.0000142780,0.0000000000,0.0000113482,0.0000256263
86,0.0000140615,0.0000000000,0.0000115648,0.0000256263
87,0.0000138447,0.0000000000,0.0000117815,0.0000256263
88,0.0000136277,0.0000000000,0.0000119986,0.0000256263
89,0.0000134106,0.0000000000,0.0000122157,0.0000256263
90,0.0000131934,0.0000000000,0.0000124329,0.0000256263
91,0.0000129761,0.0000000000,0.0000126502,0.0000256263
92,0.0000127589,0.0000000000,0.0000128674,0.0000256263
93,0.0000125418,0.0000000000,0.0000130845,0.0000256263
94,0.0000123249,0.0000000000,0.0000133014,0.0000256263
95,0.0000121082,0.0000000000,0.0000135181,0.0000256263
96,0.0000118919,0.0000000000,0.0000137345,0.0000256263
97,0.0000116759,0.0000000000,0.0000139504,0.0000256263
98,0.0000114604,0.0000000000,0.0000141660,0.0000256263
99,0.0000112453,0.0000000000,0.0000143810,0.0000256263
100,0.0000110306,0.0000000000,0.0000145955,0.0000256261
101,0.0000108167,0.0000000000,0.0000148093,0.0000256261
102,0.0000106036,0.0000000000,0.0000150225,0.0000256261
103,0.0000103912,0.0000000000,0.0000152349,0.0000256261
104,0.0000101797,0.0000000000,0.0000154464,0.0000256261
105,0.0000099690,0.0000000000,0.0000156571,0.0000256261
106,0.0000097593,0.0000000000,0.0000158668,0.0000256261
107,0.0000095506,0.0000000000,0.0000160755,0.0000256261
108,0.0000093430,0.0000000000,0.0000162831,0.0000256261
109,0.0000091365,0.0000000000,0.0000164896,0.0000256261
110,0.0000089312,0.0000000000,0.0000166949,0.0000256261
111,0.0000087272,0.0000000000,0.0000168989,0.0000256261
112,0.0000085245,0.0000000000,0.0000171016,0.0000256261
113,0.0000083232,0.0000000000,0.0000173029,0.0000256261
114,0.0000081233,0.0000000000,0.0000175028,0.0000256261
115,0.0000079250,0.0000000000,0.0000177012,0.0000256261
116,0.0000077282,0.0000000000,0.0000178980,0.0000256261
117,0.0000075330,0.0000000000,0.0000180931,0.0000256261
118,0.0000073395,0.0000000000,0.0000182866,0.0000256261
119,0.0000071477,0.0000000000,0.0000184784,0.0000256261
120,0.0000069578,0.0000000000,0.0000186684,0.0000256261
121,0.0000067697,0.0000000000,0.0000188565,0.0000256262
122,0.0000065835,0.0000000000,0.0000190427,0.0000256262
123,0.0000063992,0.0000000000,0.0000192270,0.0000256262
124,0.0000062170,0.0000000000,0.0000194092,0.0000256262
125,0.0000060368,0.0000000000,0.0000195893,0.0000256262
126,0.0000058588,0.0000000000,0.0000197674,0.0000256262
127,0.0000056829,0.0000000000,0.0000199432,0.0000256262
128,0.0000055093,0.0000000000,0.0000201169,0.0000256262
129,0.0000053380,0.0000000000,0.0000202882,0.0000256262
130,0.0000051690,0.0000000000,0.0000204572,0.0000256262
131,0.0000050023,0.0000000000,0.0000206239,0.0000256262
132,0.0000048381,0.0000000000,0.0000207881,0.0000256262
133,0.0000046764,0.0000000000,0.0000209498,0.0000256262
134,0.0000045172,0.0000000000,0.0000211090,0.0000256262
135,0.0000043606,0.0000000000,0.0000212656,0.0000256262
136,0.0000042066,0.0000000000,0.0000214196,0.0000256262
137,0.0000040552,0.0000000000,0.0000215710,0.0000256262
138,0.0000039066,0.0000000000,0.0000217196,0.0000256262
139,0.0000037607,0.0000000000,0.0000218655,0.0000256262
140,0.0000036177,0.0000000000,0.0000220086,0.0000256262
141,0.0000034774,0.0000000000,0.0000221488,0.0000256262
142,0.0000033400,0.0000000000,0.0000222862,0.0000256262
143,0.0000032056,0.0000000000,0.0000224206,0.0000256262
144,0.0000030741,0.0000000000,0.0000225521,0.0000256262
145,0.0000029456,0.0000000000,0.0000226806,0.0000256262
146,0.0000028201,0.0000000000,0.0000228061,0.0000256262
147,0.0000026977,0.0000000000,0.0000229285,0.0000256262
148,0.0000025785,0.0000000000,0.0000230478,0.0000256262
149,0.0000024623,0.0000000000,0.0000231639,0.0000256262
150,0.0000023493,0.0000000000,0.0000232769,0.0000256262
151,0.0000022395,0.0000000000,0.0000233867,0.0000256262
152,0.0000021330,0.0000000000,0.0000234932,0.0000256262
153,0.0000020297,0.0000000000,0.0000235965,0.0000256262
154,0.0000019297,0.0000000000,0.0000236965,0.0000256262
155,0.0000018331,0.0000000000,0.0000237932,0.0000256262
156,0.0000017398,0.0000000000,0.0000238865,0.0000256262
157,0.0000016498,0.0000000000,0.0000239764,0.0000256262
158,0.0000015633,0.0000000000,0.0000240629,0.0000256262
159,0.0000014802,0.0000000000,0.0000241460,0.0000256262
160,0.0000014006,0.0000000000,0.0000242257,0.0000256262
161,0.0000013244,0.0000000000,0.0000243019,0.0000256263
162,0.0000012517,0.0000000000,0.0000243745,0.0000256263
163,0.0000011825,0.0000000000,0.0000244437,0.0000256263
164,0.0000011169,0.0000000000,0.0000245094,0.0000256263
165,0.0000010548,0.0000000000,0.0000245714,0.0000256263
166,0.0000009963,0.0000000000,0.0000246300,0.0000256263
167,0.0000009413,0.0000000000,0.0000246849,0.0000256263
168,0.0000008900,0.0000000000,0.0000247363,0.0000256263
169,0.0000008423,0.0000000000,0.0000247840,0.0000256263
170,0.0000007981,0.0000000000,0.0000248281,0.0000256263
171,0.0000007577,0.0000000000,0.0000248686,0.0000256263
172,0.0000007208,0.0000000000,0.0000249054,0.0000256263
173,0.0000006876,0.0000000000,0.0000249386,0.0000256263
174,0.0000006581,0.0000000000,0.0000249682,0.0000256263
175,0.0000006322,0.0000000000,0.0000249940,0.0000256263
176,0.0000006101,0.0000000000,0.0000250162,0.0000256263
177,0.0000005915,0.0000000000,0.0000250347,0.0000256263
178,0.0000005767,0.0000000000,0.0000250496,0.0000256263
179,0.0000005656,0.0000000000,0.0000250607,0.0000256263
180,0.0000005581,0.0000000000,0.0000250682,0.0000256263
181,0.0000005543,0.0000000000,0.0000250720,0.0000256263
182,0.0000005542,0.0000000000,0.0000250721,0.0000256263
183,0.0000005578,0.0000000000,0.0000250685,0.0000256263
184,0.0000005650,0.0000000000,0.0000250613,0.0000256263
185,0.0000005759,0.0000000000,0.0000250504,0.0000256263
186,0.0000005905,0.0000000000,0.0000250358,0.0000256263
187,0.0000006087,0.0000000000,0.0000250175,0.0000256263
188,0.0000006306,0.0000000000,0.0000249957,0.0000256263
189,0.0000006561,0.0000000000,0.0000249701,0.0000256263
190,0.0000006853,0.0000000000,0.0000249410,0.0000256263
191,0.0000007181,0.0000000000,0.0000249082,0.0000256263
192,0.0000007544,0.0000000000,0.0000248718,0.0000256263
193,0.0000007944,0.0000000000,0.0000248318,0.0000256263
194,0.0000008380,0.0000000000,0.0000247883,0.0000256263
195,0.0000008851,0.0000000000,0.0000247412,0.0000256263
196,0.0000009357,0.0000000000,0.0000246905,0.0000256263
197,0.0000009899,0.0000000000,0.0000246363,0.0000256263
198,0.0000010476,0.0000000000,0.0000245786,0.0000256263
199,0.0000011088,0.0000000000,0.0000245175,0.0000256262
200,0.0000011733,0.0000000000,0.0000244528,0.0000256261
201,0.0000012413,0.0000000000,0.0000243847,0.0000256261
202,0.0000013129,0.0000000000,0.0000243132,0.0000256261
203,0.0000013878,0.0000000000,0.0000242383,0.0000256261
204,0.0000014660,0.0000000000,0.0000241600,0.0000256261
205,0.0000015477,0.0000000000,0.0000240784,0.0000256261
206,0.0000016326,0.0000000000,0.0000239935,0.0000256261
207,0.0000017208,0.0000000000,0.0000239052,0.0000256261
208,0.0000018123,0.0000000000,0.0000238137,0.0000256261
209,0.0000019071,0.0000000000,0.0000237190,0.0000256261
210,0.0000020050,0.0000000000,0.0000236211,0.0000256261
211,0.0000021061,0.0000000000,0.0000235200,0.0000256261
212,0.0000022103,0.0000000000,0.0000234158,0.0000256261
213,0.0000023176,0.0000000000,0.0000233084,0.0000256260
214,0.0000024280,0.0000000000,0.0000231980,0.0000256260
215,0.0000025414,0.0000000000,0.0000230846,0.0000256260
216,0.0000026578,0.0000000000,0.0000229682,0.0000256260
217,0.0000027772,0.0000000000,0.0000228488,0.0000256260
218,0.0000028995,0.0000000000,0.0000227266,0.0000256260
219,0.0000030246,0.0000000000,0.0000226014,0.0000256260
220,0.0000031526,0.0000000000,0.0000224734,0.0000256260
221,0.0000032834,0.0000000000,0.0000223426,0.0000256260
222,0.0000034169,0.0000000000,0.0000222091,0.0000256260
223,0.0000035532,0.0000000000,0.0000220729,0.0000256260
224,0.0000036921,0.0000000000,0.0000219339,0.0000256260
225,0.0000038336,0.0000000000,0.0000217924,0.0000256260
226,0.0000039777,0.0000000000,0.0000216483,0.0000256260
227,0.0000041243,0.0000000000,0.0000215017,0.0000256260
228,0.0000042735,0.0000000000,0.0000213526,0.0000256260
229,0.0000044250,0.0000000000,0.0000212010,0.0000256260
230,0.0000045789,0.0000000000,0.0000210471,0.0000256260
231,0.0000047352,0.0000000000,0.0000208908,0.0000256260
232,0.0000048938,0.0000000000,0.0000207322,0.0000256260
233,0.0000050546,0.0000000000,0.0000205714,0.0000256260
234,0.0000052176,0.0000000000,0.0000204084,0.0000256260
235,0.0000053827,0.0000000000,0.0000202433,0.0000256260
236,0.0000055499,0.0000000000,0.0000200761,0.0000256260
237,0.0000057191,0.0000000000,0.0000199069,0.0000256260
238,0.0000058903,0.0000000000,0.0000197356,0.0000256260
239,0.0000060635,0.0000000000,0.0000195625,0.0000256260
240,0.0000062385,0.0000000000,0.0000193875,0.0000256260
241,0.0000064153,0.0000000000,0.0000192107,0.0000256260
242,0.0000065938,0.0000000000,0.0000190321,0.0000256260
243,0.0000067741,0.0000000000,0.0000188518,0.0000256260
244,0.0000069560,0.0000000000,0.0000186699,0.0000256260
245,0.0000071395,0.0000000000,0.0000184864,0.0000256260
246,0.0000073246,0.0000000000,0.0000183014,0.0000256259
247,0.0000075111,0.0000000000,0.0000181149,0.0000256259
248,0.0000076990,0.0000000000,0.0000179270,0.0000256259
249,0.0000078883,0.0000000000,0.0000177377,0.0000256259
250,0.0000080788,0.0000000000,0.0000175471,0.0000256259
251,0.0000082706,0.0000000000,0.0000173553,0.0000256259
252,0.0000084636,0.0000000000,0.0000171623,0.0000256259
253,0.0000086577,0.0000000000,0.0000169682,0.0000256259
254,0.0000088529,0.0000000000,0.0000167731,0.0000256259
255,0.0000090490,0.0000000000,0.0000165769,0.0000256259
256,0.0000092461,0.0000000000,0.0000163798,0.0000256259
257,0.0000094440,0.0000000000,0.0000161819,0.0000256259
258,0.0000096428,0.0000000000,0.0000159831,0.0000256259
259,0.0000098423,0.0000000000,0.0000157836,0.0000256259
260,0.0000100425,0.0000000000,0.0000155834,0.0000256259
261,0.0000102433,0.0000000000,0.0000153826,0.0000256259
262,0.0000104447,0.0000000000,0.0000151812,0.0000256259
263,0.0000106466,0.0000000000,0.0000149793,0.0000256259
264,0.0000108489,0.0000000000,0.0000147769,0.0000256259
265,0.0000110516,0.0000000000,0.0000145742,0.0000256259
266,0.0000112546,0.0000000000,0.0000143712,0.0000256259
267,0.0000114579,0.0000000000,0.0000141680,0.0000256259
268,0.0000116614,0.0000000000,0.0000139645,0.0000256259
269,0.0000118649,0.0000000000,0.0000137609,0.0000256259
270,0.0000120686,0.0000000000,0.0000135573,0.0000256259
271,0.0000122722,0.0000000000,0.0000133536,0.0000256259
272,0.0000124758,0.0000000000,0.0000131500,0.0000256258
273,0.0000126793,0.0000000000,0.0000129466,0.0000256258
274,0.0000128825,0.0000000000,0.0000127433,0.0000256258
275,0.0000130855,0.0000000000,0.0000125403,0.0000256258
276,0.0000132882,0.0000000000,0.0000123376,0.0000256258
277,0.0000134906,0.0000000000,0.0000121353,0.0000256258
278,0.0000136924,0.0000000000,0.0000119334,0.0000256258
279,0.0000138938,0.0000000000,0.0000117320,0.0000256258
280,0.0000140947,0.0000000000,0.0000115311,0.0000256258
281,0.0000142949,0.0000000000,0.0000113309,0.0000256258
282,0.0000144944,0.0000000000,0.0000111314,0.0000256258
283,0.0000146932,0.0000000000,0.0000109326,0.0000256258
284,0.0000148912,0.0000000000,0.0000107346,0.0000256258
285,0.0000150883,0.0000000000,0.0000105375,0.0000256258
286,0.0000152845,0.0000000000,0.0000103413,0.0000256258
287,0.0000154797,0.0000000000,0.0000101461,0.0000256258
288,0.0000156739,0.0000000000,0.0000099519,0.0000256258
289,0.0000158669,0.0000000000,0.0000097588,0.0000256258
290,0.0000160589,0.0000000000,0.0000095669,0.0000256258
291,0.0000162495,0.0000000000,0.0000093762,0.0000256258
292,0.0000164390,0.0000000000,0.0000091868,0.0000256258
293,0.0000166270,0.0000000000,0.0000089987,0.0000256258
294,0.0000168137,0.0000000000,0.0000088120,0.0000256258
295,0.0000169990,0.0000000000,0.0000086268,0.0000256258
296,0.0000171827,0.0000000000,0.0000084430,0.0000256258
297,0.0000173649,0.0000000000,0.0000082608,0.0000256258
298,0.0000175455,0.0000000000,0.0000080803,0.0000256258
299,0.0000177244,0.0000000000,0.0000079013,0.0000256257
300,0.0000179019,0.0000000000,0.0000077241,0.0000256261
301,0.0000180773,0.0000000000,0.0000075487,0.0000256261
302,0.0000182509,0.0000000000,0.0000073751,0.0000256261
303,0.0000184227,0.0000000000,0.0000072034,0.0000256261
304,0.0000185925,0.0000000000,0.0000070336,0.0000256261
305,0.0000187603,0.0000000000,0.0000068658,0.0000256261
306,0.0000189260,0.0000000000,0.0000067000,0.0000256261
307,0.0000190898,0.0000000000,0.0000065363,0.0000256260
308,0.0000192513,0.0000000000,0.0000063747,0.0000256260
309,0.0000194107,0.0000000000,0.0000062153,0.0000256260
310,0.0000195679,0.0000000000,0.0000060581,0.0000256260
311,0.0000197228,0.0000000000,0.0000059032,0.0000256260
312,0.0000198754,0.0000000000,0.0000057506,0.0000256260
313,0.0000200257,0.0000000000,0.0000056003,0.0000256260
314,0.0000201735,0.0000000000,0.0000054525,0.0000256260
315,0.0000203189,0.0000000000,0.0000053071,0.0000256260
316,0.0000204618,0.0000000000,0.0000051642,0.0000256260
317,0.0000206022,0.0000000000,0.0000050238,0.0000256260
318,0.0000207400,0.0000000000,0.0000048860,0.0000256260
319,0.0000208752,0.0000000000,0.0000047508,0.0000256260
320,0.0000210077,0.0000000000,0.0000046183,0.0000256260
321,0.0000211376,0.0000000000,0.0000044884,0.0000256260
322,0.0000212647,0.0000000000,0.0000043613,0.0000256260
323,0.0000213891,0.0000000000,0.0000042369,0.0000256260
324,0.0000215106,0.0000000000,0.0000041154,0.0000256260
325,0.0000216294,0.0000000000,0.0000039966,0.0000256260
326,0.0000217452,0.0000000000,0.0000038808,0.0000256260
327,0.0000218582,0.0000000000,0.0000037678,0.0000256260
328,0.0000219682,0.0000000000,0.0000036578,0.0000256260
329,0.0000220753,0.0000000000,0.0000035507,0.0000256260
330,0.0000221793,0.0000000000,0.0000034467,0.0000256260
331,0.0000222804,0.0000000000,0.0000033456,0.0000256260
332,0.0000223784,0.0000000000,0.0000032476,0.0000256260
333,0.0000224733,0.0000000000,0.0000031527,0.0000256260
